Host   Node   Slot  Product  Version   Location
  134   3721   0        TII  105.22    BROOKFIELD,WI
  135   3721   1       ASAT    3.05    BROOKFIELD,WI
  136  10751  FF       I2IS    7.04    DETROIT,MI
  136  10751   0        TII  105.22    DETROIT,MI
  137  10752   0        TII  105.22    BOSTON,MA
  137  10752  FF       I2IS    7.04    BOSTON,MA
Host   Node   Slot  Product  Version   Location
  138  10763  FF       I2IS    0.00    BOSTON,MA
  139   6763   0        TII  105.22    BOSTON,MA
  139   6763  FF       I2IS    7.04    BOSTON,MA
  140   3206   2        MUX    4.00    RESTON,VA
  141   4126   1       ISCS    6.40    RAHWAY,NJ
  146   7745   0        TII  105.35    BOSTON,MA
  146   7745  FF       I2IS    7.03    BOSTON,MA
  147   5061  FF       I2IS    7.03    OAK FOREST,IL
  147   5061   0        TII  105.22    OAK FOREST,IL
  148   2625  FF       I2IS    7.03    BOSTON,MA
  148   2625   0        TII  105.35    BOSTON,MA
  149   5061   1       ASAT    3.05    OAK FOREST,IL
  150   2056   1       XCOM  104.03    NEWARK,NJ
  151   6011  FF        ATC    0.00    DALLAS,TX
  152   4665   1       ACOM    2.03    WEBSTER,NY
  154  11170   1       XCOM  104.03    MINNEAPOLIS,MN
  155   6463   1       XCOM  104.05    PITTSFORD,NY
  156   3347   4       ACOM    2.03    NEW YORK,NY
  158  11016  FF       I2IS    7.04    SPOKANE,WA
  158  11016   0        TII  105.22    SPOKANE,WA
  159  13026   1       ISCS    6.40    SPOKANE,WA
  161   5267   3        XPC  101.05    COLUMBUS,OH
  162   5471   3        XPC  101.05    PLYMOUTH,MI
  163   6012  FF       I2IS    7.03    IRVINE,CA
  163   6012   0        TII  105.22    IRVINE,CA
  165   6013   0        TII  105.22    IRVINE,CA
  165   6013  FF       I2IS    7.03    IRVINE,CA
  166   6454  FF       I2IS    0.00    IRVINE,CA
  167  10312   0        TII  105.22    IRVINE,CA
  167  10312  FF       I2IS    7.03    IRVINE,CA
  168   2525   1       TRSW   12.43    FREMONT,CA
  169   6012   3       XCOM  104.03    IRVINE,CA
  171  10312   3       XCOM  104.03    IRVINE,CA
  172   6013   1       TRSW   12.43    IRVINE,CA
  173   2336   1       XCOM  104.03    SAN JOSE,CA
  174   6012   2       XCOM  104.03    IRVINE,CA
  175  10265   3       T2G2  305.22    PITTSBURGH,PA
  176   6013   3       XCOM  104.03    IRVINE,CA
  177  10763   2       XCOM    0.00    BOSTON,MA
  178   6013   2       XCOM  104.03    IRVINE,CA
  179   2533   1       ACOM    2.03    BERKELEY,CA
  180   6012   1       TRSW   12.43    IRVINE,CA
  181  10450   2       TRSW   12.43    ROCKVILLE,MD
  182   6454   1       TRSW    0.00    IRVINE,CA
  184   6654   1       ACOM    3.01    ST.-CLOUD,
  185   5564   2       XCOM  104.03    IRVINE,CA
  186   6454   2       TRSW    0.00    IRVINE,CA
  187   5073   2       TRSW   12.43    IRVINE,CA
  188  10312   1       XCOM  104.03    IRVINE,CA
  189   3206   4    UNREPOR  106.03    RESTON,VA
  190   5040   3       TRSW   12.43    IRVINE,CA
  191  11310   4       TRSW   12.43    IRVINE,CA
  192  10115   0        TII  105.35    RICHMOND,VA
  192  10115  FF       I2IS   11.33    RICHMOND,VA
  193  11165   0        TII  105.34    RICHMOND,VA
  193  11165  FF       I2IS    7.03    RICHMOND,VA
  194   6715   1       ISCS    6.40    RICHMOND,VA
  195   4136  FF        TII    0.00    RICHMOND,VA
  196   5336  FF        TII    0.00    RICHMOND,VA
